company_id,year,previous_pattern,capital_allocation_pattern
ABB,2015.0,deleveraging,capital_returner
ABB,2016.0,capital_returner,cash_compounder
ABB,2018.0,cash_compounder,capital_returner
ABB,2022.0,capital_returner,cash_compounder
ABB,2023.0,cash_compounder,capital_returner
ABB,2024.0,capital_returner,cash_compounder
ABB,,cash_compounder,insufficient_data
ADANIENSOL,2015.0,insufficient_data,distressed
ADANIENSOL,2016.0,distressed,cash_compounder
ADANIENSOL,2018.0,cash_compounder,growth_investor
ADANIENSOL,2022.0,growth_investor,cash_compounder
ADANIENSOL,2023.0,cash_compounder,growth_investor
ADANIENSOL,2024.0,growth_investor,cash_compounder
ADANIENSOL,,cash_compounder,insufficient_data
ADANIENT,2014.0,growth_investor,cash_compounder
ADANIENT,2015.0,cash_compounder,growth_investor
ADANIENT,2016.0,growth_investor,cash_compounder
ADANIENT,2017.0,cash_compounder,growth_investor
ADANIENT,2019.0,growth_investor,cash_compounder
ADANIENT,2021.0,cash_compounder,growth_investor
ADANIENT,2023.0,growth_investor,cash_compounder
ADANIENT,2024.0,cash_compounder,growth_investor
ADANIENT,,growth_investor,insufficient_data
ADANIGREEN,2021.0,distressed,growth_investor
ADANIGREEN,2023.0,growth_investor,cash_compounder
ADANIGREEN,2024.0,cash_compounder,growth_investor
ADANIGREEN,,growth_investor,insufficient_data
ADANIPORTS,2015.0,growth_investor,cash_compounder
ADANIPORTS,2016.0,cash_compounder,growth_investor
ADANIPORTS,2017.0,growth_investor,cash_compounder
ADANIPORTS,2021.0,cash_compounder,growth_investor
ADANIPORTS,2022.0,growth_investor,cash_compounder
ADANIPORTS,2023.0,cash_compounder,growth_investor
ADANIPORTS,2024.0,growth_investor,cash_compounder
ADANIPORTS,,cash_compounder,insufficient_data
ADANIPOWER,2016.0,distressed,cash_compounder
ADANIPOWER,2017.0,cash_compounder,distressed
ADANIPOWER,2021.0,distressed,cash_compounder
ADANIPOWER,2023.0,cash_compounder,capital_intensive
ADANIPOWER,,capital_intensive,insufficient_data
AMBUJACEM,2013.0,cash_compounder,capital_returner
AMBUJACEM,2014.0,capital_returner,cash_compounder
AMBUJACEM,2016.0,cash_compounder,capital_returner
AMBUJACEM,2017.0,capital_returner,cash_compounder
AMBUJACEM,2018.0,cash_compounder,deleveraging
AMBUJACEM,2019.0,deleveraging,cash_compounder
AMBUJACEM,2023.0,cash_compounder,deleveraging
AMBUJACEM,,deleveraging,insufficient_data
APOLLOHOSP,2014.0,growth_investor,cash_compounder
APOLLOHOSP,2015.0,cash_compounder,growth_investor
APOLLOHOSP,2018.0,growth_investor,cash_compounder
APOLLOHOSP,,cash_compounder,insufficient_data
ASIANPAINT,2015.0,cash_compounder,capital_returner
ASIANPAINT,2016.0,capital_returner,cash_compounder
ASIANPAINT,2017.0,cash_compounder,capital_returner
ASIANPAINT,2018.0,capital_returner,cash_compounder
ASIANPAINT,2022.0,cash_compounder,capital_returner
ASIANPAINT,2024.0,capital_returner,cash_compounder
ASIANPAINT,,cash_compounder,insufficient_data
ATGL,,capital_intensive,insufficient_data
BAJAJAUTO,2014.0,capital_returner,cash_compounder
BAJAJAUTO,2015.0,cash_compounder,capital_returner
BAJAJAUTO,2018.0,capital_returner,cash_compounder
BAJAJAUTO,2019.0,cash_compounder,capital_returner
BAJAJAUTO,,capital_returner,insufficient_data
BAJAJHLDNG,2017.0,deleveraging,growth_investor
BAJAJHLDNG,2018.0,growth_investor,deleveraging
BAJAJHLDNG,2021.0,deleveraging,growth_investor
BAJAJHLDNG,2022.0,growth_investor,capital_returner
BAJAJHLDNG,2024.0,capital_returner,deleveraging
BAJAJHLDNG,,deleveraging,insufficient_data
BEL,2015.0,capital_efficient,cash_compounder
BEL,2017.0,cash_compounder,capital_returner
BEL,2018.0,capital_returner,growth_investor
BEL,2019.0,growth_investor,capital_returner
BEL,2020.0,capital_returner,cash_compounder
BEL,2022.0,cash_compounder,growth_investor
BEL,2023.0,growth_investor,capital_returner
BEL,2024.0,capital_returner,growth_investor
BEL,,growth_investor,insufficient_data
BHARTIARTL,2017.0,cash_compounder,growth_investor
BHARTIARTL,2018.0,growth_investor,cash_compounder
BHARTIARTL,2019.0,cash_compounder,growth_investor
BHARTIARTL,2020.0,growth_investor,distressed
BHARTIARTL,2022.0,distressed,cash_compounder
BHARTIARTL,,cash_compounder,insufficient_data
BHEL,2014.0,deleveraging,cash_compounder
BHEL,2015.0,cash_compounder,deleveraging
BHEL,2016.0,deleveraging,distressed
BHEL,2017.0,distressed,capital_returner
BHEL,2018.0,capital_returner,cash_compounder
BHEL,2019.0,cash_compounder,capital_returner
BHEL,2020.0,capital_returner,distressed
BHEL,2022.0,distressed,capital_returner
BHEL,2023.0,capital_returner,deleveraging
BHEL,2024.0,deleveraging,distressed
BHEL,,distressed,insufficient_data
BOSCHLTD,2013.0,deleveraging,cash_compounder
BOSCHLTD,2016.0,cash_compounder,deleveraging
BOSCHLTD,2017.0,deleveraging,capital_returner
BOSCHLTD,2018.0,capital_returner,cash_compounder
BOSCHLTD,2019.0,cash_compounder,deleveraging
BOSCHLTD,2020.0,deleveraging,cash_compounder
BOSCHLTD,2022.0,cash_compounder,capital_returner
BOSCHLTD,,capital_returner,insufficient_data
BPCL,2017.0,cash_compounder,capital_returner
BPCL,2018.0,capital_returner,cash_compounder
BPCL,2019.0,cash_compounder,capital_returner
BPCL,2021.0,capital_returner,cash_compounder
BPCL,,cash_compounder,insufficient_data
BRITANNIA,2015.0,cash_compounder,capital_returner
BRITANNIA,2016.0,capital_returner,cash_compounder
BRITANNIA,2017.0,cash_compounder,capital_returner
BRITANNIA,2018.0,capital_returner,cash_compounder
BRITANNIA,2020.0,cash_compounder,capital_returner
BRITANNIA,2021.0,capital_returner,cash_compounder
BRITANNIA,2022.0,cash_compounder,capital_returner
BRITANNIA,2023.0,capital_returner,cash_compounder
BRITANNIA,,cash_compounder,insufficient_data
CIPLA,2014.0,deleveraging,cash_compounder
CIPLA,2015.0,cash_compounder,deleveraging
CIPLA,2016.0,deleveraging,capital_intensive
CIPLA,2017.0,capital_intensive,cash_compounder
CIPLA,2024.0,cash_compounder,deleveraging
CIPLA,,deleveraging,insufficient_data
COALINDIA,2015.0,capital_returner,cash_compounder
COALINDIA,2016.0,cash_compounder,capital_returner
COALINDIA,2017.0,capital_returner,cash_compounder
COALINDIA,2019.0,cash_compounder,capital_returner
COALINDIA,2022.0,capital_returner,cash_compounder
COALINDIA,2024.0,cash_compounder,capital_returner
COALINDIA,,capital_returner,insufficient_data
DABUR,2015.0,cash_compounder,capital_returner
DABUR,2019.0,capital_returner,cash_compounder
DABUR,2023.0,cash_compounder,capital_returner
DABUR,2024.0,capital_returner,cash_compounder
DABUR,,cash_compounder,insufficient_data
DIVISLAB,2016.0,capital_returner,deleveraging
DIVISLAB,2017.0,deleveraging,cash_compounder
DIVISLAB,2018.0,cash_compounder,capital_returner
DIVISLAB,,capital_returner,insufficient_data
DLF,2017.0,cash_compounder,capital_returner
DLF,2018.0,capital_returner,distressed
DLF,2019.0,distressed,cash_compounder
DLF,2020.0,cash_compounder,distressed
DLF,2021.0,distressed,cash_compounder
DLF,2024.0,cash_compounder,capital_returner
DLF,,capital_returner,insufficient_data
DMART,2018.0,growth_investor,deleveraging
DMART,2019.0,deleveraging,growth_investor
DMART,2021.0,growth_investor,cash_compounder
DMART,2022.0,cash_compounder,deleveraging
DMART,2023.0,deleveraging,cash_compounder
DMART,,cash_compounder,insufficient_data
DRREDDY,2014.0,growth_investor,cash_compounder
DRREDDY,2024.0,cash_compounder,deleveraging
DRREDDY,,deleveraging,insufficient_data
EICHERMOT,2016.0,growth_investor,cash_compounder
EICHERMOT,2017.0,cash_compounder,growth_investor
EICHERMOT,2018.0,growth_investor,cash_compounder
EICHERMOT,2019.0,cash_compounder,deleveraging
EICHERMOT,2021.0,deleveraging,cash_compounder
EICHERMOT,2022.0,cash_compounder,capital_returner
EICHERMOT,,capital_returner,insufficient_data
GAIL,2014.0,growth_investor,capital_returner
GAIL,2015.0,capital_returner,cash_compounder
GAIL,2020.0,cash_compounder,capital_returner
GAIL,2021.0,capital_returner,cash_compounder
GAIL,2022.0,cash_compounder,capital_returner
GAIL,2023.0,capital_returner,growth_investor
GAIL,2024.0,growth_investor,cash_compounder
GAIL,,cash_compounder,insufficient_data
GODREJCP,2014.0,capital_intensive,cash_compounder
GODREJCP,2015.0,cash_compounder,capital_intensive
GODREJCP,2016.0,capital_intensive,cash_compounder
GODREJCP,2017.0,cash_compounder,capital_returner
GODREJCP,2018.0,capital_returner,cash_compounder
GODREJCP,2019.0,cash_compounder,capital_returner
GODREJCP,2020.0,capital_returner,cash_compounder
GODREJCP,2022.0,cash_compounder,deleveraging
GODREJCP,2023.0,deleveraging,cash_compounder
GODREJCP,2024.0,cash_compounder,distressed
GODREJCP,,distressed,insufficient_data
GRASIM,2014.0,growth_investor,cash_compounder
GRASIM,2018.0,cash_compounder,growth_investor
GRASIM,2020.0,growth_investor,cash_compounder
GRASIM,2022.0,cash_compounder,capital_intensive
GRASIM,2023.0,capital_intensive,growth_investor
GRASIM,,growth_investor,insufficient_data
HAL,2016.0,insufficient_data,capital_returner
HAL,2021.0,capital_returner,cash_compounder
HAL,2022.0,cash_compounder,capital_returner
HAL,2023.0,capital_returner,cash_compounder
HAL,,cash_compounder,insufficient_data
HAVELLS,2016.0,cash_compounder,capital_returner
HAVELLS,2017.0,capital_returner,cash_compounder
HAVELLS,2019.0,cash_compounder,capital_returner
HAVELLS,2020.0,capital_returner,cash_compounder
HAVELLS,2021.0,cash_compounder,growth_investor
HAVELLS,2022.0,growth_investor,cash_compounder
HAVELLS,2023.0,cash_compounder,capital_returner
HAVELLS,2024.0,capital_returner,cash_compounder
HAVELLS,,cash_compounder,insufficient_data
HCLTECH,2014.0,cash_compounder,deleveraging
HCLTECH,2015.0,deleveraging,capital_returner
HCLTECH,2017.0,capital_returner,cash_compounder
HCLTECH,2018.0,cash_compounder,deleveraging
HCLTECH,2020.0,deleveraging,cash_compounder
HCLTECH,,cash_compounder,insufficient_data
HEROMOTOCO,2015.0,cash_compounder,capital_returner
HEROMOTOCO,2016.0,capital_returner,cash_compounder
HEROMOTOCO,2019.0,cash_compounder,capital_returner
HEROMOTOCO,2020.0,capital_returner,cash_compounder
HEROMOTOCO,2022.0,cash_compounder,capital_returner
HEROMOTOCO,2024.0,capital_returner,cash_compounder
HEROMOTOCO,,cash_compounder,insufficient_data
HINDALCO,2015.0,growth_investor,distressed
HINDALCO,2017.0,distressed,cash_compounder
HINDALCO,2021.0,cash_compounder,distressed
HINDALCO,2022.0,distressed,cash_compounder
HINDALCO,,cash_compounder,insufficient_data
HINDUNILVR,2016.0,capital_returner,cash_compounder
HINDUNILVR,2019.0,cash_compounder,capital_returner
HINDUNILVR,2020.0,capital_returner,cash_compounder
HINDUNILVR,2023.0,cash_compounder,capital_returner
HINDUNILVR,2024.0,capital_returner,cash_compounder
HINDUNILVR,,cash_compounder,insufficient_data
ICICIGI,2014.0,cash_compounder,growth_investor
ICICIGI,2015.0,growth_investor,deleveraging
ICICIGI,2016.0,deleveraging,cash_compounder
ICICIGI,2017.0,cash_compounder,distressed
ICICIGI,2018.0,distressed,cash_compounder
ICICIGI,2019.0,cash_compounder,distressed
ICICIGI,2020.0,distressed,cash_compounder
ICICIGI,2022.0,cash_compounder,capital_returner
ICICIGI,2023.0,capital_returner,cash_compounder
ICICIGI,,cash_compounder,insufficient_data
INDIGO,2015.0,growth_investor,cash_compounder
INDIGO,2018.0,cash_compounder,growth_investor
INDIGO,2019.0,growth_investor,cash_compounder
INDIGO,2020.0,cash_compounder,distressed
INDIGO,2024.0,distressed,cash_compounder
INDIGO,,cash_compounder,insufficient_data
INFY,2014.0,deleveraging,capital_returner
INFY,2017.0,capital_returner,growth_investor
INFY,2018.0,growth_investor,capital_returner
INFY,2020.0,capital_returner,cash_compounder
INFY,2023.0,cash_compounder,capital_returner
INFY,2024.0,capital_returner,deleveraging
INFY,,deleveraging,insufficient_data
IOC,2019.0,cash_compounder,capital_returner
IOC,2020.0,capital_returner,distressed
IOC,2021.0,distressed,cash_compounder
IOC,,cash_compounder,insufficient_data
IRCTC,2016.0,deleveraging,cash_compounder
IRCTC,2018.0,cash_compounder,deleveraging
IRCTC,2019.0,deleveraging,cash_compounder
IRCTC,2020.0,cash_compounder,capital_returner
IRCTC,2021.0,capital_returner,growth_investor
IRCTC,2022.0,growth_investor,capital_returner
